date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
01:00:54	58662/58662	---M--	200	added ('OK')	text/css	etag:%22e526-60e9787ca7cb0%22	http://localhost:8080/blogs/wp-content/themes/jannah/assets/css/fontawesome.css?ver=7.0.3	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/themes/jannah/assets/css/fontawesomebf7d.css	(from http://localhost:8080/blogs/)
01:00:55	12018/12018	---M--	200	added ('OK')	text/css	etag:%222ef2-60e9787cec5b6%22	http://localhost:8080/blogs/wp-content/themes/jannah/assets/ilightbox/dark-skin/skin.css?ver=7.0.3	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/themes/jannah/assets/ilightbox/dark-skin/skinbf7d.css	(from http://localhost:8080/blogs/)
01:00:55	13671/13671	---M--	200	added ('OK')	text/css	etag:%223567-60e9787cade4b%22	http://localhost:8080/blogs/wp-content/themes/jannah/assets/css/plugins/shortcodes.min.css?ver=7.0.3	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/themes/jannah/assets/css/plugins/shortcodes.minbf7d.css	(from http://localhost:8080/blogs/)
01:00:56	7582/7582	---M--	200	added ('OK')	text/css	etag:%221d9e-60e9787cae619%22	http://localhost:8080/blogs/wp-content/themes/jannah/assets/css/plugins/taqyeem.min.css?ver=7.0.3	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/themes/jannah/assets/css/plugins/taqyeem.minbf7d.css	(from http://localhost:8080/blogs/)
01:00:57	51439/51439	---MC-	200	added ('OK')	application/rss+xml	etag:%22d31f5f186db055384ac05b1c6641226f%22	http://localhost:8080/blogs/feed/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/feed/index.html	(from http://localhost:8080/blogs/)
01:00:58	3037/3037	---M--	200	added ('OK')	application/javascript	etag:%22bdd-60e968b7a9704%22	http://localhost:8080/blogs/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min.js?ver=8.4.0	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/plugins/woocommerce/assets/js/frontend/add-to-cart.min2678.js	(from http://localhost:8080/blogs/)
01:00:58	1845/1845	---M--	200	added ('OK')	application/javascript	etag:%22735-60e968b81681c%22	http://localhost:8080/blogs/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min.js?ver=2.1.4-wc.8.4.0	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/plugins/woocommerce/assets/js/js-cookie/js.cookie.min48a0.js	(from http://localhost:8080/blogs/)
01:00:58	9636/9636	---M--	200	added ('OK')	application/javascript	etag:%2225a4-60e968b7e3c14%22	http://localhost:8080/blogs/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.min.js?ver=2.7.0-wc.8.4.0	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/plugins/woocommerce/assets/js/jquery-blockui/jquery.blockUI.minb8c8.js	(from http://localhost:8080/blogs/)
01:00:58	13577/13577	---M--	200	added ('OK')	application/javascript	etag:%223509-5fdabee5f2100%22	http://localhost:8080/blogs/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-includes/js/jquery/jquery-migrate.min5589.js	(from http://localhost:8080/blogs/)
01:00:59	2139/2139	---M--	200	added ('OK')	application/javascript	etag:%2285b-60e968b7e305c%22	http://localhost:8080/blogs/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min.js?ver=8.4.0	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/plugins/woocommerce/assets/js/frontend/woocommerce.min2678.js	(from http://localhost:8080/blogs/)
01:01:02	8549/8549	---MC-	200	added ('OK')	application/json	date:Fri,%2012%20Jan%202024%2023:00:59%20GMT	http://localhost:8080/blogs/wp-json/wp/v2/pages/1019	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-json/wp/v2/pages/1019.json	(from http://localhost:8080/blogs/)
01:01:02	87553/87553	---M--	200	added ('OK')	application/javascript	etag:%2215601-603fed35e19c0%22	http://localhost:8080/blogs/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-includes/js/jquery/jquery.minf43b.js	(from http://localhost:8080/blogs/)
01:01:03	829/829	---M--	200	added ('OK')	text/xml	date:Fri,%2012%20Jan%202024%2023:01:01%20GMT	http://localhost:8080/blogs/xmlrpc.php?rsd	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/xmlrpc0db0.php	(from http://localhost:8080/blogs/)
01:01:04	2113/2113	---M--	200	added ('OK')	application/json	date:Fri,%2012%20Jan%202024%2023:01:03%20GMT	http://localhost:8080/blogs/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A8080%2Fblogs%2F	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-json/oembed/1.0/embedfe2f.json	(from http://localhost:8080/blogs/)
01:01:06	2268/2268	---M--	200	added ('OK')	text/xml	date:Fri,%2012%20Jan%202024%2023:01:04%20GMT	http://localhost:8080/blogs/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A8080%2Fblogs%2F&format=xml	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-json/oembed/1.0/embed880b	(from http://localhost:8080/blogs/)
01:01:09	1/1	---M--	400	error ('Bad%20Request')	text/html	date:Fri,%2012%20Jan%202024%2023:01:06%20GMT	http://localhost:8080/blogs/wp-admin/admin-ajax.php	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-admin/admin-ajax.php	(from http://localhost:8080/blogs/)
01:01:10	11091/11091	---M--	200	added ('OK')	image/png	etag:%222b53-60e97da73570b%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/rawa-trends-logo-yellow.png	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/rawa-trends-logo-yellow.png	(from http://localhost:8080/blogs/)
01:01:14	30419/30419	---M--	200	added ('OK')	image/jpeg	etag:%2276d3-60ec7891240ae%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/96a398b46aq-780x470.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/96a398b46aq-780x470.jpg	(from http://localhost:8080/blogs/)
01:01:17	50041/50041	---M--	200	added ('OK')	image/jpeg	etag:%22c379-60ec7707185d1%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/2b792dca01d-780x470.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/2b792dca01d-780x470.jpg	(from http://localhost:8080/blogs/)
01:01:24	96923/96923	---M--	200	added ('OK')	image/jpeg	etag:%2217a9b-60ec7801f8806%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/0e5dbe692aa-780x470.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/0e5dbe692aa-780x470.jpg	(from http://localhost:8080/blogs/)
01:01:28	146186/146186	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:01:15%20GMT	http://localhost:8080/blogs/2024/01/12/pinnacle-pursuits-a-chronicle-of-sporting-excellence/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/2024/01/12/pinnacle-pursuits-a-chronicle-of-sporting-excellence/index.html	(from http://localhost:8080/blogs/)
01:01:30	41931/41931	---M--	200	added ('OK')	image/jpeg	etag:%22a3cb-60ec763d0c905%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/ec7a8f9f65%d8%b6-780x470.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/ec7a8f9f65%d8%b6-780x470.jpg	(from http://localhost:8080/blogs/)
01:01:38	148024/148024	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:01:24%20GMT	http://localhost:8080/blogs/2024/01/12/the-sporting-canvas-brushstrokes-of-triumph-unity-and-legacy/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/2024/01/12/the-sporting-canvas-brushstrokes-of-triumph-unity-and-legacy/index.html	(from http://localhost:8080/blogs/)
01:01:43	147734/147734	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:01:31%20GMT	http://localhost:8080/blogs/2024/01/12/game-changers-the-evolution-and-impact-of-modern-sports/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/2024/01/12/game-changers-the-evolution-and-impact-of-modern-sports/index.html	(from http://localhost:8080/blogs/)
01:01:43	39121/39121	---M--	200	added ('OK')	image/jpeg	etag:%2298d1-60ec755c0ba62%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/38e1b84187a-780x470.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/38e1b84187a-780x470.jpg	(from http://localhost:8080/blogs/)
01:01:45	51831/51831	---M--	200	added ('OK')	image/jpeg	etag:%22ca77-60ec73bb46328%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/8236d0c871%d9%8a-780x470.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/8236d0c871%d9%8a-780x470.jpg	(from http://localhost:8080/blogs/)
01:01:58	32155/32155	---M--	200	added ('OK')	image/jpeg	etag:%227d9b-60ec7280a30d1%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/6c1fe8be0ca-780x470.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/6c1fe8be0ca-780x470.jpg	(from http://localhost:8080/blogs/)
01:02:00	147435/147435	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:01:43%20GMT	http://localhost:8080/blogs/2024/01/12/game-on-unleashing-the-spirit-of-sportsmanship-and-victory/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/2024/01/12/game-on-unleashing-the-spirit-of-sportsmanship-and-victory/index.html	(from http://localhost:8080/blogs/)
01:02:00	148038/148038	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:01:43%20GMT	http://localhost:8080/blogs/2024/01/12/beyond-the-scoreboard-unveiling-the-heart-and-soul-of-sports/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/2024/01/12/beyond-the-scoreboard-unveiling-the-heart-and-soul-of-sports/index.html	(from http://localhost:8080/blogs/)
01:02:10	146306/146306	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:01:58%20GMT	http://localhost:8080/blogs/2024/01/12/flavorful-tales-a-journey-through-global-kitchens/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/2024/01/12/flavorful-tales-a-journey-through-global-kitchens/index.html	(from http://localhost:8080/blogs/)
01:02:12	145543/145543	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:02:00%20GMT	http://localhost:8080/blogs/2024/01/12/home-kitchen-chronicles-easy-recipes-for-everyday-joy/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/2024/01/12/home-kitchen-chronicles-easy-recipes-for-everyday-joy/index.html	(from http://localhost:8080/blogs/)
01:02:20	147525/147525	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:02:12%20GMT	http://localhost:8080/blogs/2024/01/12/simple-eats-elevating-home-cooking-with-everyday-ingredients/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/2024/01/12/simple-eats-elevating-home-cooking-with-everyday-ingredients/index.html	(from http://localhost:8080/blogs/)
01:02:23	44821/44821	---M--	200	added ('OK')	image/jpeg	etag:%22af15-60ec62661a249%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/2120b1b8f2%d9%8a-780x470.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/2120b1b8f2%d9%8a-780x470.jpg	(from http://localhost:8080/blogs/)
01:02:23	64004/64004	---M--	200	added ('OK')	image/jpeg	etag:%22fa04-60ec67591e114%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/265d103d32%d8%b4%d9%8a-780x470.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/265d103d32%d8%b4%d9%8a-780x470.jpg	(from http://localhost:8080/blogs/)
01:02:25	34133/34133	---M--	200	added ('OK')	image/jpeg	etag:%228555-60ec5fa8c5b04%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/b1d0cd2166d-780x470.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/b1d0cd2166d-780x470.jpg	(from http://localhost:8080/blogs/)
01:02:25	11656/11656	---M--	200	added ('OK')	image/jpeg	etag:%222d88-60ec78910f63e%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/96a398b46aq-390x220.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/96a398b46aq-390x220.jpg	(from http://localhost:8080/blogs/)
01:02:38	144962/144962	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:02:23%20GMT	http://localhost:8080/blogs/2024/01/12/savoring-the-fusion-of-culture-and-cuisine/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/2024/01/12/savoring-the-fusion-of-culture-and-cuisine/index.html	(from http://localhost:8080/blogs/)
01:02:44	148656/148656	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:02:25%20GMT	http://localhost:8080/blogs/2024/01/12/the-art-of-culinary-exploration-a-gastronomic-journey-through-time-and-taste/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/2024/01/12/the-art-of-culinary-exploration-a-gastronomic-journey-through-time-and-taste/index.html	(from http://localhost:8080/blogs/)
01:02:44	11214/11214	---M--	200	added ('OK')	image/jpeg	etag:%222bce-60ec7801c49a3%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/0e5dbe692aa-220x150.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/0e5dbe692aa-220x150.jpg	(from http://localhost:8080/blogs/)
01:02:44	308296/308296	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:02:25%20GMT	http://localhost:8080/blogs/cart/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/cart/index.html	(from http://localhost:8080/blogs/)
01:02:45	8283/8283	---M--	200	added ('OK')	image/jpeg	etag:%22205b-60ec7706f9d7e%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/2b792dca01d-220x150.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/2b792dca01d-220x150.jpg	(from http://localhost:8080/blogs/)
01:02:45	0/0	---M--	302	error ('Found')	text/html	date:Fri,%2012%20Jan%202024%2023:02:44%20GMT	http://localhost:8080/blogs/?random-post=1	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/indexa52e.html	(from http://localhost:8080/blogs/)
01:02:47	7195/7195	---M--	200	added ('OK')	image/jpeg	etag:%221c1b-60ec763cea3be%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/ec7a8f9f65%d8%b6-220x150.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/ec7a8f9f65%d8%b6-220x150.jpg	(from http://localhost:8080/blogs/)
01:02:56	110593/110593	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:02:44%20GMT	http://localhost:8080/blogs/shop/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/shop/index.html	(from http://localhost:8080/blogs/)
01:02:58	6439/6439	---M--	200	added ('OK')	image/jpeg	etag:%221927-60ec755be951b%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/38e1b84187a-220x150.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/38e1b84187a-220x150.jpg	(from http://localhost:8080/blogs/)
01:02:59	104439/104439	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:02:45%20GMT	http://localhost:8080/blogs/category/food-nutrition/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/category/food-nutrition/index.html	(from http://localhost:8080/blogs/)
01:02:59	93938/93938	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:02:47%20GMT	http://localhost:8080/blogs/category/health/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/category/health/index.html	(from http://localhost:8080/blogs/)
01:03:00	18295/18295	---M--	200	added ('OK')	image/jpeg	etag:%224777-60ec73bb2f4f8%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/8236d0c871%d9%8a-390x220.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/8236d0c871%d9%8a-390x220.jpg	(from http://localhost:8080/blogs/)
01:03:01	5796/5796	---M--	200	added ('OK')	image/jpeg	etag:%2216a4-60ec728082011%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/6c1fe8be0ca-220x150.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/6c1fe8be0ca-220x150.jpg	(from http://localhost:8080/blogs/)
01:03:05	10629/10629	---M--	200	added ('OK')	image/jpeg	etag:%222985-60ec6758fae5a%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/265d103d32%d8%b4%d9%8a-220x150.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/265d103d32%d8%b4%d9%8a-220x150.jpg	(from http://localhost:8080/blogs/)
01:03:08	8051/8051	---M--	200	added ('OK')	image/jpeg	etag:%221f73-60ec6265f7fcb%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/2120b1b8f2%d9%8a-220x150.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/2120b1b8f2%d9%8a-220x150.jpg	(from http://localhost:8080/blogs/)
01:03:10	5276/5276	---M--	200	added ('OK')	image/jpeg	etag:%22149c-60ec5fa8a1a39%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/b1d0cd2166d-220x150.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/b1d0cd2166d-220x150.jpg	(from http://localhost:8080/blogs/)
01:03:10	104254/104254	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:02:58%20GMT	http://localhost:8080/blogs/category/sport/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/category/sport/index.html	(from http://localhost:8080/blogs/)
01:03:11	116462/116462	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:02:59%20GMT	http://localhost:8080/blogs/author/blogs/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/author/blogs/index.html	(from http://localhost:8080/blogs/)
01:03:12	6707/6707	---M--	200	added ('OK')	image/jpeg	etag:%221a33-60ec789105468%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/96a398b46aq-220x150.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/96a398b46aq-220x150.jpg	(from http://localhost:8080/blogs/)
01:03:12	9574/9574	---M--	200	added ('OK')	image/jpeg	etag:%222566-60ec73bb27aea%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/8236d0c871%d9%8a-220x150.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/8236d0c871%d9%8a-220x150.jpg	(from http://localhost:8080/blogs/)
01:03:15	16387/16387	---M--	200	added ('OK')	image/jpeg	etag:%224003-60ec770705497%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/2b792dca01d-390x220.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/2b792dca01d-390x220.jpg	(from http://localhost:8080/blogs/)
01:03:15	26085/26085	---M--	200	added ('OK')	image/jpeg	etag:%2265e5-60ec7801d77f8%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/0e5dbe692aa-390x220.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/0e5dbe692aa-390x220.jpg	(from http://localhost:8080/blogs/)
01:03:19	14654/14654	---M--	200	added ('OK')	image/jpeg	etag:%22393e-60ec763cf5ad6%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/ec7a8f9f65%d8%b6-390x220.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/ec7a8f9f65%d8%b6-390x220.jpg	(from http://localhost:8080/blogs/)
01:03:19	13719/13719	---M--	200	added ('OK')	image/jpeg	etag:%223597-60ec755bf4c34%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/38e1b84187a-390x220.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/38e1b84187a-390x220.jpg	(from http://localhost:8080/blogs/)
01:03:21	99344/99344	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:03:12%20GMT	http://localhost:8080/blogs/product/single/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/product/single/index.html	(from http://localhost:8080/blogs/)
01:03:22	11059/11059	---M--	200	added ('OK')	image/jpeg	etag:%222b33-60ec72808d79e%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/6c1fe8be0ca-390x220.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/6c1fe8be0ca-390x220.jpg	(from http://localhost:8080/blogs/)
01:03:23	21295/21295	---M--	200	added ('OK')	image/jpeg	etag:%22532f-60ec675906a83%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/265d103d32%d8%b4%d9%8a-390x220.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/265d103d32%d8%b4%d9%8a-390x220.jpg	(from http://localhost:8080/blogs/)
01:03:23	15887/15887	---M--	200	added ('OK')	image/jpeg	etag:%223e0f-60ec626602b7f%22	http://localhost:8080/blogs/wp-content/uploads/2024/01/2120b1b8f2%d9%8a-390x220.jpg	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/uploads/2024/01/2120b1b8f2%d9%8a-390x220.jpg	(from http://localhost:8080/blogs/)
01:03:25	23658/23658	---M--	200	added ('OK')	application/javascript	etag:%225c6a-60e9787d24f6f%22	http://localhost:8080/blogs/wp-content/themes/jannah/assets/js/scripts.min.js?ver=7.0.3	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/wp-content/themes/jannah/assets/js/scripts.minbf7d.js	(from http://localhost:8080/blogs/)
01:03:35	95508/95508	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:03:23%20GMT	http://localhost:8080/blogs/category/tie-tech/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/category/tie-tech/index.html	(from http://localhost:8080/blogs/)
01:03:35	95565/95565	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:03:23%20GMT	http://localhost:8080/blogs/category/tie-world/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/category/tie-world/index.html	(from http://localhost:8080/blogs/)
01:03:45	102564/102564	---MC-	200	added ('OK')	text/html	date:Fri,%2012%20Jan%202024%2023:03:35%20GMT	http://localhost:8080/blogs/my-account/lost-password/	C:/My%20Web%20Sites/blogs/localhost_8080/blogs/my-account/lost-password/index.html	(from http://localhost:8080/blogs/)
